rainfall_mm,temperature_c,fertilizer_kg,irrigation_hours,soil_ph,crop_type,soil_type,yield_ton_per_hectare
588.6,18.6,242.4,6.5,6.5,Maize,Loamy,5.92
772.8,34.6,247.2,10.0,6.5,Maize,Sandy,6.24
970.9,36.3,168.4,7.3,6.4,Wheat,Sandy,4.77
611.7,19.0,121.7,3.7,6.0,Maize,Loamy,4.04
696.1,29.6,184.6,5.1,6.1,Cotton,Clay,5.17
831.9,28.0,190.3,2.1,6.1,Soybean,Loamy,5.5
1023.8,32.0,108.5,6.9,6.2,Cotton,Loamy,5.44
1142.4,18.4,241.9,4.1,7.3,Soybean,Sandy,5.88
810.4,36.4,164.8,9.9,6.5,Wheat,Loamy,6.35
1085.5,29.4,89.3,8.3,5.8,Cotton,Loamy,6.3
377.4,21.9,164.8,7.9,7.4,Rice,Sandy,5.01
1028.6,34.0,134.9,4.9,6.4,Soybean,Loamy,5.35
854.3,25.5,82.3,2.9,5.9,Soybean,Sandy,4.06
717.9,22.9,83.0,3.9,7.2,Soybean,Clay,4.89
526.6,19.5,136.8,1.2,7.8,Cotton,Clay,3.58
697.2,21.1,124.3,2.9,6.7,Wheat,Loamy,4.9
428.5,37.9,78.5,6.6,7.4,Cotton,Clay,3.36
810.3,32.8,230.9,8.9,7.1,Maize,Loamy,6.18
842.8,30.7,230.6,3.5,6.9,Cotton,Sandy,4.26
1002.3,32.1,178.2,8.9,6.5,Wheat,Sandy,5.62
1062.9,19.8,91.4,9.2,6.8,Wheat,Clay,5.91
898.7,33.6,182.0,1.0,6.4,Wheat,Loamy,4.84
707.1,20.5,245.2,1.8,7.0,Cotton,Sandy,3.84
981.0,23.4,110.2,3.5,7.7,Rice,Clay,5.97
934.7,30.2,103.4,8.6,6.3,Wheat,Sandy,5.45
1191.0,22.4,162.6,5.1,6.3,Wheat,Loamy,5.91
695.0,33.3,191.6,7.2,6.6,Wheat,Sandy,4.67
580.8,34.0,133.7,9.2,6.0,Soybean,Loamy,5.28
454.8,26.7,115.3,5.5,7.3,Wheat,Sandy,4.33
804.1,30.2,121.1,5.5,7.2,Soybean,Sandy,4.58
397.4,25.8,74.7,3.4,6.8,Soybean,Clay,3.64
497.1,36.6,237.0,2.1,7.3,Wheat,Sandy,3.85
1143.9,21.0,234.0,7.1,5.7,Soybean,Clay,6.34
1056.9,27.3,150.0,5.1,6.2,Soybean,Clay,5.92
643.0,30.9,62.0,3.0,5.5,Soybean,Clay,4.37
452.7,20.8,108.9,5.0,7.5,Soybean,Clay,4.15
591.9,24.4,197.3,6.0,7.0,Soybean,Sandy,5.18
681.9,21.3,77.2,2.0,7.1,Rice,Sandy,4.35
1093.1,20.6,136.5,3.2,7.8,Maize,Sandy,4.13
685.0,25.6,120.6,7.6,6.6,Wheat,Clay,5.75
605.7,20.4,232.1,2.0,6.0,Maize,Sandy,3.74
736.3,23.4,142.7,9.0,6.6,Maize,Clay,5.58
727.4,22.5,129.1,1.9,7.0,Rice,Sandy,3.99
1174.6,30.4,95.1,5.9,7.8,Wheat,Sandy,5.78
328.8,21.7,60.2,3.8,7.6,Cotton,Sandy,2.64
940.8,26.6,69.6,3.9,7.6,Soybean,Loamy,5.6
907.6,28.6,218.5,3.1,6.9,Soybean,Sandy,5.04
905.3,19.2,74.2,2.6,6.5,Rice,Sandy,3.9
1072.2,19.3,99.0,8.7,6.1,Soybean,Loamy,6.56
620.5,23.8,244.7,4.2,7.3,Soybean,Sandy,4.91
544.9,21.8,84.3,2.4,6.8,Cotton,Clay,3.4
350.7,35.5,110.2,3.0,5.8,Soybean,Clay,3.1
840.6,33.7,190.1,5.6,6.0,Maize,Loamy,5.53
1020.8,35.0,215.9,9.4,5.5,Maize,Clay,6.07
929.8,28.7,107.2,1.9,7.6,Wheat,Clay,4.87
771.6,28.5,213.2,6.9,6.7,Soybean,Loamy,5.91
587.7,24.2,205.7,6.6,6.4,Rice,Sandy,5.35
898.1,21.1,147.6,4.0,6.9,Rice,Clay,5.99
1055.6,32.5,100.4,1.7,5.9,Rice,Sandy,4.96
927.7,25.2,80.7,3.5,7.9,Soybean,Clay,4.67
496.8,36.7,52.2,2.2,6.7,Soybean,Loamy,3.63
439.7,19.3,164.0,5.7,7.7,Maize,Sandy,3.67
817.9,18.8,116.4,1.6,6.4,Cotton,Clay,3.57
450.6,29.2,187.9,1.9,6.3,Soybean,Sandy,3.56
1098.2,32.7,109.3,6.0,7.9,Maize,Loamy,5.6
313.1,35.1,63.6,4.1,7.3,Rice,Loamy,4.56
563.4,30.4,161.1,7.1,6.0,Rice,Sandy,5.61
1055.7,35.5,223.6,6.9,5.7,Soybean,Loamy,6.83
919.0,22.8,71.0,6.7,7.0,Cotton,Loamy,5.07
836.2,32.5,106.2,10.0,7.5,Cotton,Clay,5.56
411.2,36.1,227.7,9.6,7.3,Rice,Clay,6.26
459.4,18.7,58.6,6.7,7.0,Soybean,Clay,4.65
1065.2,22.8,200.6,3.5,5.9,Maize,Sandy,5.09
628.8,35.3,249.5,5.6,7.1,Cotton,Clay,5.04
669.8,22.7,84.0,7.1,7.9,Cotton,Loamy,5.18
784.0,37.2,71.3,5.8,5.5,Maize,Clay,4.29
666.5,30.3,148.5,7.3,7.1,Cotton,Loamy,5.2
1189.7,34.9,67.9,1.2,7.1,Cotton,Clay,4.08
459.8,34.4,225.7,5.6,7.8,Maize,Sandy,4.46
683.8,18.5,170.2,8.8,7.9,Rice,Clay,5.58
1174.4,24.8,96.0,2.0,6.1,Soybean,Clay,5.71
605.1,27.2,240.8,3.2,7.2,Maize,Sandy,4.85
333.6,32.0,138.5,7.1,7.4,Cotton,Loamy,3.98
499.6,27.8,80.3,3.1,6.6,Soybean,Sandy,3.8
448.1,24.3,113.8,4.1,7.0,Cotton,Loamy,4.04
355.0,24.1,100.3,5.6,5.5,Wheat,Sandy,3.27
606.1,22.3,57.6,9.6,5.6,Maize,Loamy,5.41
634.6,30.9,220.4,3.2,7.9,Maize,Loamy,4.93
846.0,28.6,235.3,8.1,7.6,Rice,Sandy,6.79
926.9,31.6,172.1,4.7,5.9,Wheat,Sandy,4.87
694.3,22.5,127.8,6.6,5.7,Maize,Clay,5.28
897.3,33.5,143.6,3.2,6.8,Wheat,Loamy,5.56
1183.6,34.8,151.3,6.9,6.4,Maize,Loamy,6.45
811.7,20.3,84.2,5.4,6.0,Wheat,Clay,5.24
1193.2,37.2,76.4,5.9,7.4,Rice,Sandy,5.85
849.9,24.5,183.4,4.5,5.9,Maize,Clay,5.78
479.4,25.1,78.4,2.8,6.0,Maize,Sandy,3.51
424.1,23.7,84.3,7.3,7.1,Wheat,Sandy,3.76
543.4,31.6,88.8,4.4,5.8,Maize,Loamy,4.59
674.8,27.0,171.5,4.5,6.9,Wheat,Loamy,5.12
564.8,25.4,149.1,5.2,5.5,Wheat,Sandy,4.76
950.5,22.7,219.4,3.3,6.8,Rice,Loamy,6.25
699.0,33.5,189.8,6.8,7.6,Rice,Sandy,5.32
366.8,28.8,167.7,6.2,6.9,Cotton,Loamy,4.62
923.4,37.0,60.0,1.3,6.4,Cotton,Clay,3.51
812.1,31.7,195.1,7.8,5.6,Wheat,Sandy,5.51
839.3,23.3,197.9,5.7,7.9,Wheat,Loamy,6.01
714.7,31.4,62.8,5.9,7.0,Rice,Loamy,5.36
527.2,31.8,207.0,6.9,6.2,Soybean,Sandy,4.42
1177.4,19.0,63.6,5.7,7.8,Cotton,Loamy,4.97
799.6,36.7,55.7,8.3,6.8,Cotton,Clay,4.5
900.6,29.8,248.7,1.3,7.1,Rice,Sandy,5.14
625.9,27.2,246.4,5.6,6.2,Cotton,Clay,5.58
416.4,30.7,194.0,5.1,7.6,Rice,Clay,4.8
468.6,33.3,106.1,9.0,6.1,Wheat,Clay,4.65
901.1,33.6,64.8,3.7,7.5,Wheat,Loamy,5.0
831.4,23.5,91.8,5.2,6.4,Maize,Sandy,4.82
375.1,36.3,172.4,8.5,5.8,Cotton,Clay,3.92
1196.8,19.8,246.9,1.7,6.0,Soybean,Sandy,5.48
427.0,24.0,113.0,4.8,7.2,Maize,Sandy,3.18
445.8,34.4,232.7,3.6,7.0,Wheat,Sandy,3.96
708.3,30.4,113.9,8.1,6.3,Maize,Clay,5.12
927.0,26.8,119.8,6.1,7.2,Rice,Clay,6.47
1183.5,24.0,173.3,6.5,7.4,Cotton,Loamy,6.65
789.0,27.8,65.1,8.1,5.9,Cotton,Loamy,5.07
690.4,22.6,131.9,3.6,5.8,Maize,Loamy,4.82
1054.4,28.0,104.0,6.8,6.9,Wheat,Loamy,6.7
1107.4,28.0,206.1,3.4,7.8,Wheat,Clay,5.79
788.6,35.9,229.5,1.6,7.5,Rice,Sandy,4.87
1167.6,24.2,89.4,1.4,5.9,Soybean,Sandy,4.71
319.8,35.0,116.6,3.0,5.5,Rice,Sandy,2.97
547.5,28.1,170.5,4.9,6.8,Soybean,Sandy,4.55
839.6,27.7,67.5,7.6,6.7,Cotton,Loamy,5.78
1020.6,33.3,161.9,2.9,7.9,Wheat,Sandy,4.85
623.6,30.4,80.8,6.3,6.2,Cotton,Loamy,4.57
562.6,20.1,175.5,6.6,7.2,Wheat,Sandy,4.15
733.7,33.2,82.3,1.3,5.7,Wheat,Sandy,3.33
833.7,34.9,149.0,2.3,5.7,Maize,Sandy,3.83
1143.3,34.6,199.3,9.8,8.0,Soybean,Clay,6.83
425.7,32.6,57.9,7.7,6.6,Soybean,Loamy,4.43
608.0,33.8,60.8,4.1,6.2,Wheat,Loamy,4.26
698.3,25.9,70.4,7.0,6.6,Soybean,Clay,4.79
778.8,34.8,112.6,5.0,7.8,Soybean,Sandy,4.13
772.7,26.1,204.5,10.0,7.6,Rice,Loamy,7.78
1108.5,19.3,133.7,1.1,6.1,Maize,Sandy,3.86
770.2,19.2,183.5,3.4,7.0,Maize,Clay,4.28
955.5,37.5,114.6,2.9,6.6,Rice,Clay,5.46
580.0,29.1,63.5,8.2,5.6,Soybean,Clay,5.02
426.1,37.7,109.6,9.3,6.3,Cotton,Loamy,4.15
1114.8,24.1,215.0,2.4,6.2,Wheat,Clay,6.17
306.1,31.9,81.3,2.6,5.8,Cotton,Sandy,2.21
771.3,22.0,63.0,4.1,5.8,Rice,Clay,5.27
341.1,19.6,195.6,7.8,7.4,Cotton,Loamy,4.7
559.2,36.5,55.8,7.3,7.5,Maize,Clay,4.08
1120.8,19.1,229.6,2.4,7.5,Rice,Sandy,4.97
906.0,21.3,143.7,8.8,8.0,Maize,Loamy,6.25
400.2,36.5,140.6,1.8,7.3,Rice,Clay,4.28
1078.9,35.9,213.4,9.7,6.4,Cotton,Sandy,6.17
1029.5,21.5,180.5,9.3,7.6,Maize,Loamy,6.53
832.4,34.6,194.9,2.2,7.6,Rice,Loamy,5.04
715.6,24.8,127.3,4.0,6.8,Wheat,Loamy,4.64
702.9,31.7,53.0,3.2,6.6,Soybean,Sandy,4.1
522.6,31.6,222.5,4.5,5.7,Soybean,Clay,5.07
1133.0,27.5,210.6,1.2,6.9,Soybean,Loamy,6.42
1163.7,33.6,222.1,9.8,6.9,Soybean,Sandy,6.26
913.9,33.6,84.5,4.3,6.4,Soybean,Sandy,4.83
554.5,36.2,192.5,7.8,7.4,Maize,Loamy,4.82
773.5,24.1,119.5,2.6,7.8,Maize,Loamy,5.05
919.7,23.6,103.0,1.3,5.8,Maize,Loamy,4.47
838.7,26.4,234.0,2.5,7.6,Soybean,Sandy,5.12
723.8,21.5,136.6,9.1,7.4,Cotton,Clay,5.42
768.3,32.8,65.4,9.4,6.4,Soybean,Clay,5.49
817.8,18.3,206.6,4.1,7.4,Cotton,Sandy,4.26
585.4,33.1,134.2,4.6,7.6,Maize,Loamy,4.69
927.0,30.4,153.9,8.6,5.8,Soybean,Clay,6.56
626.6,25.8,144.6,5.0,6.8,Wheat,Loamy,5.05
1063.1,22.0,184.5,5.8,6.2,Cotton,Loamy,5.42
344.5,26.6,146.3,8.6,7.3,Soybean,Clay,5.36
368.2,25.9,200.4,5.7,5.7,Soybean,Clay,4.85
540.9,34.8,189.8,7.0,6.7,Rice,Loamy,5.35
614.6,27.8,147.3,8.9,5.9,Cotton,Loamy,5.98
704.9,18.9,110.9,4.7,7.8,Rice,Clay,4.81
1050.3,32.2,111.0,7.1,7.2,Soybean,Clay,5.96
744.0,27.9,99.2,5.2,5.5,Cotton,Loamy,5.1
569.7,29.1,171.1,7.1,7.9,Soybean,Sandy,5.4
749.3,28.4,127.9,6.0,6.0,Maize,Sandy,5.18
439.8,34.7,170.3,6.3,7.4,Cotton,Loamy,3.98
1180.7,22.7,124.7,6.1,7.7,Wheat,Loamy,5.97
410.4,34.3,141.8,5.4,5.9,Maize,Sandy,3.32
988.8,24.8,209.7,2.2,6.5,Wheat,Sandy,5.29
455.1,32.9,76.8,8.7,7.3,Cotton,Sandy,4.18
853.5,31.2,125.1,5.5,7.5,Cotton,Loamy,5.11
349.1,28.4,155.4,8.6,5.8,Maize,Loamy,5.11
916.7,33.4,162.2,8.7,7.1,Maize,Loamy,6.13
754.0,26.9,245.7,9.8,6.9,Soybean,Sandy,6.2
1113.6,18.3,249.8,1.3,6.9,Soybean,Loamy,5.58
883.3,22.2,173.8,6.4,6.1,Rice,Loamy,6.89
674.5,27.8,100.2,5.4,7.7,Cotton,Loamy,4.39
942.6,31.0,203.2,8.9,8.0,Rice,Clay,6.51
1032.4,30.6,129.0,5.2,7.9,Soybean,Loamy,5.88
1094.0,25.6,104.3,3.4,7.9,Rice,Clay,6.25
528.2,18.1,77.0,9.1,7.9,Soybean,Sandy,4.35
765.3,36.5,51.8,1.3,5.6,Rice,Loamy,4.5
860.8,26.6,60.3,3.1,6.1,Rice,Loamy,5.76
611.2,24.4,123.0,1.1,7.5,Soybean,Loamy,4.36
771.6,28.9,175.6,7.4,5.8,Rice,Clay,6.44
1199.5,27.9,121.8,4.9,7.1,Rice,Clay,6.57
806.6,25.7,96.4,4.1,8.0,Rice,Loamy,6.05
575.1,32.5,179.4,9.8,7.0,Rice,Clay,6.58
1198.7,22.0,104.7,8.2,5.6,Soybean,Sandy,5.72
638.5,32.6,103.9,1.9,6.4,Cotton,Loamy,3.94
924.7,29.5,209.3,6.6,7.7,Soybean,Clay,6.47
769.9,18.1,118.8,1.7,7.2,Soybean,Clay,4.16
525.3,26.8,243.0,5.0,6.4,Rice,Loamy,6.56
774.5,32.1,138.7,10.0,5.8,Wheat,Loamy,5.89
960.6,34.8,215.5,9.3,6.7,Wheat,Clay,6.03
775.4,26.2,164.7,8.4,7.9,Cotton,Loamy,6.49
862.6,34.3,187.8,4.0,7.9,Cotton,Clay,4.48
460.0,31.7,157.9,8.8,6.4,Rice,Sandy,5.35
1019.1,29.8,237.4,1.6,6.8,Soybean,Loamy,5.85
585.2,22.7,231.3,7.7,7.3,Wheat,Loamy,5.79
476.4,37.5,128.7,2.1,6.4,Wheat,Sandy,3.16
990.7,33.1,116.6,5.8,6.6,Rice,Clay,5.82
696.9,35.9,96.0,8.5,5.6,Rice,Loamy,5.56
387.0,34.0,246.5,2.9,6.5,Wheat,Sandy,3.34
1005.4,30.0,238.1,5.9,7.1,Rice,Loamy,6.61
435.9,28.8,229.9,5.2,6.3,Maize,Clay,5.12
972.8,24.3,229.0,1.1,7.0,Maize,Loamy,5.25
1083.7,31.8,152.5,7.2,7.0,Cotton,Clay,5.75
602.9,26.9,71.9,7.1,7.3,Wheat,Sandy,4.97
396.4,28.7,155.1,5.0,7.6,Wheat,Sandy,4.07
1033.6,30.1,57.1,9.7,7.5,Wheat,Loamy,6.05
385.3,33.3,225.2,7.6,5.9,Wheat,Clay,5.4
959.2,25.0,163.0,8.3,7.7,Wheat,Clay,6.48
379.6,30.9,93.9,6.6,7.9,Soybean,Clay,4.02
1049.3,31.9,55.1,6.0,6.4,Rice,Clay,5.95
995.0,29.6,185.9,5.9,6.8,Soybean,Clay,5.68
1115.9,22.4,217.7,8.5,6.1,Rice,Sandy,7.28
1096.1,21.4,204.9,1.5,6.8,Wheat,Loamy,5.68
1164.9,28.7,228.9,2.6,7.8,Cotton,Loamy,5.97
367.6,35.9,138.9,7.6,7.4,Wheat,Clay,4.41
351.1,31.0,206.3,3.0,5.5,Soybean,Loamy,4.54
927.3,35.4,82.5,3.6,6.7,Cotton,Loamy,4.38
309.9,18.1,182.6,6.1,7.8,Cotton,Clay,4.17
518.5,25.7,61.1,8.3,7.9,Cotton,Sandy,3.75
696.3,19.9,101.7,9.4,7.5,Cotton,Clay,5.24
455.1,36.6,242.1,2.3,5.7,Rice,Sandy,4.43
1158.0,19.2,208.3,3.4,6.7,Wheat,Sandy,5.59
1118.6,37.2,171.9,6.2,6.7,Rice,Sandy,5.75
793.2,30.2,77.8,3.8,7.5,Soybean,Clay,4.55
909.8,26.1,101.7,9.4,6.9,Cotton,Sandy,5.13
711.6,21.7,54.0,3.1,6.9,Cotton,Sandy,3.32
550.1,26.1,61.9,3.4,7.2,Rice,Loamy,5.37
836.0,20.6,74.4,8.0,6.6,Wheat,Clay,5.49
645.9,22.6,91.4,7.1,7.1,Cotton,Loamy,5.08
775.7,26.5,228.4,5.9,7.2,Rice,Sandy,6.16
1128.3,27.5,56.2,7.6,7.7,Maize,Clay,6.46
389.7,25.2,73.1,6.5,7.3,Maize,Loamy,4.15
560.6,23.7,190.5,3.7,6.5,Wheat,Clay,5.02
569.6,34.7,80.5,6.2,5.9,Cotton,Loamy,3.83
1177.1,20.4,192.0,6.1,6.8,Maize,Loamy,5.94
1122.1,30.0,106.2,8.1,7.7,Cotton,Clay,5.46
424.5,27.2,170.4,10.0,7.4,Soybean,Clay,5.71
491.7,30.4,220.8,5.9,7.7,Rice,Sandy,5.61
752.5,25.9,245.7,6.0,7.4,Maize,Sandy,5.54
1087.2,22.7,148.5,8.8,5.9,Rice,Clay,6.82
477.8,37.6,149.1,6.1,6.9,Cotton,Loamy,4.44
357.8,19.1,132.5,7.6,5.5,Cotton,Sandy,3.45
978.5,25.9,99.8,7.8,6.6,Maize,Sandy,5.79
841.7,18.5,203.5,1.5,7.6,Cotton,Loamy,4.69
306.1,18.5,172.6,7.9,7.3,Wheat,Loamy,4.64
489.5,21.0,85.7,7.2,7.3,Cotton,Loamy,4.78
1142.8,18.2,239.8,4.5,6.7,Soybean,Loamy,6.2
436.5,23.8,155.0,6.2,5.7,Wheat,Loamy,5.14
337.2,22.6,149.6,9.3,6.2,Cotton,Sandy,3.92
1168.8,29.0,60.3,1.9,5.6,Soybean,Sandy,4.69
421.4,27.8,88.4,5.6,6.0,Cotton,Loamy,4.47
805.2,26.1,67.5,2.2,7.6,Rice,Loamy,4.96
1063.3,34.3,192.8,5.3,6.6,Wheat,Clay,5.28
1117.5,37.6,179.4,1.3,5.5,Cotton,Loamy,4.45
666.2,23.3,116.7,1.4,7.9,Cotton,Clay,3.62
318.7,35.7,145.8,6.3,6.9,Soybean,Loamy,4.45
323.6,19.6,116.1,8.3,6.0,Maize,Clay,4.55
701.9,33.3,82.3,4.6,7.0,Soybean,Clay,4.74
687.9,22.1,247.5,2.6,6.8,Maize,Loamy,5.53
619.8,23.8,112.1,5.2,5.8,Wheat,Loamy,5.08
958.8,33.8,94.6,7.8,5.9,Soybean,Clay,6.18
634.9,27.2,147.7,5.2,6.2,Maize,Clay,5.14
703.5,26.0,218.2,2.0,5.7,Cotton,Clay,4.16
471.4,19.9,227.5,10.0,6.1,Rice,Loamy,6.84
519.9,21.6,184.1,3.0,8.0,Soybean,Loamy,4.66
1101.6,19.8,169.7,5.1,6.8,Rice,Clay,5.84
993.0,34.6,135.8,3.4,5.7,Rice,Clay,5.35
658.0,37.3,130.7,5.5,7.1,Wheat,Clay,4.84
527.1,26.7,96.5,4.3,6.1,Cotton,Loamy,4.13
819.9,30.5,202.0,1.3,6.5,Wheat,Clay,5.13
676.7,19.6,90.8,6.1,6.6,Rice,Sandy,4.78
1134.9,23.8,76.4,2.1,6.1,Rice,Sandy,4.83
775.4,26.2,210.4,3.5,5.7,Rice,Clay,5.54
833.9,24.9,75.0,8.5,7.0,Soybean,Sandy,5.48
940.6,21.7,90.1,9.5,7.3,Maize,Loamy,6.62
341.5,31.4,155.8,3.2,5.8,Maize,Clay,4.03
982.0,32.7,237.0,8.1,5.7,Maize,Sandy,5.71
741.4,19.8,63.0,6.7,6.8,Maize,Loamy,5.08
494.2,22.2,213.4,7.0,6.8,Soybean,Clay,5.01
872.9,20.7,127.0,1.7,6.1,Maize,Clay,4.64
529.2,34.5,221.9,5.3,6.3,Rice,Loamy,6.09
678.2,31.0,248.5,9.3,7.9,Soybean,Loamy,7.01
809.8,24.0,92.8,7.4,7.3,Cotton,Loamy,4.92
704.7,19.1,119.6,8.8,7.8,Rice,Loamy,6.01
421.5,19.7,111.7,1.4,6.6,Wheat,Sandy,3.29
412.6,37.3,154.8,2.3,5.9,Cotton,Sandy,2.26
1006.6,32.9,216.5,1.1,7.5,Maize,Sandy,4.24
926.0,26.8,91.4,2.0,6.9,Rice,Sandy,5.21
564.5,37.0,79.7,9.6,8.0,Cotton,Sandy,4.27
729.2,32.9,90.4,9.6,7.4,Cotton,Loamy,5.62
1052.2,36.7,230.1,3.8,6.6,Wheat,Clay,5.39
936.9,25.1,80.5,3.4,7.8,Wheat,Clay,4.99
306.3,32.7,198.8,5.9,5.7,Maize,Loamy,4.33
347.6,25.1,69.8,3.4,6.2,Soybean,Clay,3.79
471.7,18.6,145.4,3.3,6.7,Wheat,Clay,4.26
1126.0,32.3,182.6,6.1,6.8,Soybean,Loamy,6.36
663.8,28.3,214.3,7.3,7.9,Maize,Loamy,5.91
1106.9,22.4,171.6,3.9,7.4,Rice,Sandy,5.74
752.1,25.7,233.5,2.7,7.0,Wheat,Clay,4.8
514.8,21.8,70.6,2.7,7.1,Rice,Sandy,3.2
380.3,34.5,157.5,2.9,6.7,Rice,Clay,4.3
391.6,27.7,198.7,8.5,7.9,Soybean,Clay,6.05
953.8,19.7,165.9,2.0,6.0,Maize,Sandy,3.74
860.7,28.7,193.1,3.3,7.9,Maize,Sandy,4.65
774.1,33.8,169.0,1.1,6.4,Cotton,Clay,4.02
495.6,37.0,99.7,5.8,5.6,Wheat,Clay,3.78
431.0,32.8,210.7,2.0,7.0,Cotton,Loamy,3.53
648.0,21.6,149.0,6.6,5.5,Rice,Sandy,5.37
791.7,32.8,143.3,3.3,6.3,Maize,Clay,4.19
1180.1,34.4,134.2,9.7,6.6,Wheat,Loamy,7.07
565.3,22.0,92.8,4.6,7.5,Wheat,Sandy,3.49
1156.7,28.1,81.2,7.3,7.8,Rice,Loamy,7.49
454.9,33.0,65.1,4.5,5.6,Maize,Sandy,2.76
1124.0,21.1,219.7,9.0,7.6,Cotton,Loamy,6.3
1081.0,33.4,235.3,5.1,7.7,Rice,Clay,6.38
1047.5,31.9,138.0,9.8,5.9,Maize,Clay,6.49
634.3,35.9,232.0,2.5,6.1,Maize,Clay,4.19
310.6,34.4,195.7,4.1,7.4,Wheat,Clay,4.15
772.2,26.8,226.5,2.9,7.3,Maize,Clay,4.8
1130.8,30.5,213.3,1.2,7.6,Maize,Clay,5.04
468.9,34.4,123.2,5.0,7.2,Maize,Clay,4.02
639.9,21.0,50.4,3.2,7.4,Maize,Sandy,3.4
729.0,23.1,128.4,8.4,7.6,Maize,Clay,5.63
342.2,27.5,248.3,9.1,6.1,Cotton,Clay,5.78
954.1,34.4,204.6,4.9,6.8,Wheat,Sandy,4.79
410.4,21.9,152.8,3.9,6.8,Cotton,Sandy,3.47
1198.0,23.5,170.1,6.0,7.3,Cotton,Loamy,6.19
304.0,27.3,193.2,7.0,6.6,Soybean,Sandy,4.38
596.1,22.0,71.7,9.6,8.0,Soybean,Clay,4.85
665.7,21.4,97.5,1.9,6.6,Soybean,Loamy,4.48
638.6,28.9,175.0,2.9,7.0,Rice,Loamy,5.42
852.5,25.9,57.0,3.2,6.6,Cotton,Loamy,4.27
907.6,29.2,68.9,7.5,8.0,Soybean,Sandy,4.91
425.5,25.2,190.4,7.7,5.5,Wheat,Clay,4.97
1159.8,29.7,213.6,8.6,5.7,Maize,Clay,6.81
523.3,34.8,183.7,7.4,6.7,Maize,Sandy,4.88
799.6,26.0,249.9,7.6,6.9,Cotton,Sandy,5.84
439.8,24.1,239.0,4.2,6.4,Soybean,Loamy,5.63
353.0,22.7,175.0,2.1,7.9,Wheat,Clay,3.89
958.6,37.9,225.2,5.9,6.6,Maize,Clay,5.96
680.1,25.7,232.0,2.0,7.6,Cotton,Sandy,3.95
1199.8,32.3,146.2,4.2,7.1,Wheat,Sandy,5.65
511.7,34.4,102.1,7.2,6.7,Wheat,Clay,4.56
975.8,23.8,207.2,4.1,5.7,Maize,Loamy,5.89
995.9,28.1,183.0,1.9,6.8,Cotton,Clay,4.88
341.6,32.8,171.6,3.1,5.9,Maize,Clay,4.19
